Na,Mg,Al,Si,P,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo
-0.185034927,-0.110014396,2.883994988,12.25021153,-0.017897077,0.433970006,1.441174887,2.27462587,1781.157522,0.190009838,-16.89239696,33.60491502,259.2034713,1.863610499,10.40328199,-0.03016838,7.796802276,51.79400506,5.1835108,5.293844328,9.527637032,-2.596415955,5.496841511,73.47641716,21.75634486,111.5111709,11.85519354,137.0265497,3.377727355,-1.106942755
-0.239789149,-0.24902137,2.72260417,11.04127021,-0.015247669,0.460372218,1.328720532,2.063226485,1266.076464,0.174433456,-26.31429246,41.47195413,243.7323733,1.913529497,10.10095681,1.258820905,9.516856984,51.30498431,5.724265589,5.785607769,9.545298465,-3.812793871,5.469995222,73.32352914,22.02694555,117.1199309,11.95958608,144.2043388,3.19430947,-0.128520277
-0.163674371,-0.304886405,2.863579205,11.45536434,-0.017432862,0.424413375,1.432149277,2.256065371,1239.011918,0.1906575,18.17031768,39.08523458,253.8413908,1.891551778,10.15466023,0.957274737,8.396024683,48.96116831,7.242294166,4.985868984,8.049077041,-2.800461198,5.430042272,72.82200144,19.53335865,111.1819019,12.83234097,138.0675041,3.735978953,-0.985362961
-0.126007094,-0.044373706,3.03251844,12.47966216,-0.00930187,0.415625092,1.524468711,2.331194789,1698.509378,0.19384073,-17.16717029,47.84560113,245.8017171,1.776482952,9.468641763,0.164833807,10.02506115,50.31242538,5.818007943,4.892266618,5.91296481,-2.403179229,5.157150382,68.01096839,17.54576356,104.4087114,12.45372701,140.4823148,3.524164072,2.137098151
-0.073185471,-0.079240835,3.127938073,13.09196375,-0.008060448,0.410804951,1.527877145,2.332197016,1525.101856,0.20264465,8.162804546,41.80773369,263.0065068,1.746256901,9.460167403,-1.879032637,9.20727342,44.78336197,6.191153445,5.219828389,7.055355015,-2.79516291,5.08373064,67.66999954,11.79905173,101.9262218,14.96299208,150.5981684,4.458163474,4.388982422
-0.080934098,-0.025177787,3.185181298,13.21437504,-0.023014147,0.454456633,1.581498249,2.38544521,1373.08368,0.223903421,5.935766413,51.24285138,250.5975155,1.771247754,9.641921021,1.232840715,11.082795,46.56599381,6.283901557,6.169004679,7.505201191,-1.895301674,5.143728335,68.82317851,16.31969969,104.737415,14.23132084,150.6961422,4.020405646,4.710467117
-0.167237844,-0.062661398,3.01598993,12.78053056,-0.013775128,0.456977748,1.518426162,2.334843614,1786.885787,0.205867893,-18.64928636,43.26571697,259.3211908,1.846751237,9.985537064,-0.510350608,11.17020859,50.31086469,7.268568522,6.637639019,8.387351153,-2.347365026,5.130999363,69.18246845,13.26757489,107.8462357,11.24338259,156.5282607,3.453980964,3.390065654
-0.234961069,-0.190432266,2.709163784,11.68537254,-0.006117558,0.39936882,1.353750354,2.060243909,1064.801199,0.193177747,-14.75761722,47.53899394,242.6256581,1.851168581,10.01169775,-0.393173237,10.92647434,50.67188836,8.541853056,5.788879274,8.39061314,-2.096184568,5.167913093,69.46763562,13.09593721,108.1829362,13.31937207,146.6119767,3.806373121,1.485147076
-0.384808141,-0.67653202,2.417368629,10.16085885,-0.005438264,0.392439358,1.159027173,1.770359616,442.546918,0.17423662,-18.32656629,43.98809287,206.3595832,1.826233351,10.08523806,1.58818368,11.51648757,48.4275776,7.307540232,5.999810151,7.812744596,-2.91743616,5.152095436,69.2603016,11.66463362,106.5466348,10.69792303,141.9752826,3.221801288,2.562034886
-0.38012217,-0.875210974,2.188397061,9.731267134,-0.006152767,0.411099043,1.065835317,1.551883665,958.8092217,0.142529688,-44.88048686,62.18873686,159.5193747,1.731108104,9.375071243,-1.328213252,10.69800421,45.03484199,6.381661179,5.741899808,9.214084515,-3.192276376,5.076365334,66.91899407,17.57266924,101.8350288,11.13511946,133.8541223,2.781347161,-0.922471079
